CarID,Model,Year,Price,FuelType,IsElectric
74,Skoda Felicia GLX,1996,560000,Benzin,0
75,Skoda 100 S,1970,220000,Benzin,0
76,Skoda Octavia Scout,2024,14200000,Benzin/Dizel,0
77,Skoda 440,1955,100000,Benzin,0
78,Skoda Roomster Style,2012,3200000,Benzin/Dizel,0
79,Skoda Vision RS Concept,2022,12500000,Elektromos,1
80,Skoda Slavia Elegance,2025,9800000,Benzin,0
81,Skoda Kushaq Monte Carlo,2023,7900000,Benzin,0
82,Skoda Octavia 1st Gen,1996,1650000,Benzin/Dizel,0
83,Skoda Superb 1st Gen,2001,2500000,Benzin/Dizel,0
84,Skoda Favorit 136L,1991,350000,Benzin,0
85,Skoda Enyaq Laurin & Klement,2025,17000000,Elektromos,1
86,Skoda Vision E,2025,19500000,Elektromos,1
87,Skoda Superb Elegance,2013,8900000,Benzin/Dizel,0
88,Skoda 110R Coupé,1978,450000,Benzin,0
89,Skoda 125L,1989,310000,Benzin,0
90,Skoda Felicia Sportline,1997,620000,Benzin,0
91,Skoda Fabia iV,2025,9200000,Hibrid,1
92,Skoda 1000MB Deluxe,1966,280000,Benzin,0
93,Skoda Yeti Sport,2015,5700000,Benzin/Dizel,0
94,Skoda Citigo Sportline,2019,6900000,Elektromos,1
95,Skoda Kodiaq Laurin & Klement,2024,15500000,Benzin/Dizel,0
96,Skoda Scala Electric,2025,14500000,Elektromos,1
97,Skoda Octavia Touring,2016,7900000,Benzin/Dizel,0
98,Skoda Superb Electric,2025,18500000,Elektromos,1
99,Skoda Felicia Cabrio,1998,780000,Benzin,0
100,Skoda 110L Deluxe,1973,290000,Benzin,0
